Level_1	Level_2	Level_3	Level_4	Level_5	Level_6	p-values	p-values (corrected)	Effect size	Note	CV: mean rel. freq. (%)	CV: std. dev. (%)	HE: mean rel. freq. (%)	HE: std. dev. (%)	WA: mean rel. freq. (%)	WA: std. dev. (%)	CrassostreavirginicaG1	CrassostreavirginicaG1: parent seq. count	CrassostreavirginicaG1: rel. freq. (%)	CrassostreavirginicaG10	CrassostreavirginicaG10: parent seq. count	CrassostreavirginicaG10: rel. freq. (%)	CrassostreavirginicaG2	CrassostreavirginicaG2: parent seq. count	CrassostreavirginicaG2: rel. freq. (%)	CrassostreavirginicaG3	CrassostreavirginicaG3: parent seq. count	CrassostreavirginicaG3: rel. freq. (%)	CrassostreavirginicaG4	CrassostreavirginicaG4: parent seq. count	CrassostreavirginicaG4: rel. freq. (%)	CrassostreavirginicaG5	CrassostreavirginicaG5: parent seq. count	CrassostreavirginicaG5: rel. freq. (%)	CrassostreavirginicaG6	CrassostreavirginicaG6: parent seq. count	CrassostreavirginicaG6: rel. freq. (%)	CrassostreavirginicaG7	CrassostreavirginicaG7: parent seq. count	CrassostreavirginicaG7: rel. freq. (%)	CrassostreavirginicaG8	CrassostreavirginicaG8: parent seq. count	CrassostreavirginicaG8: rel. freq. (%)	CrassostreavirginicaG9	CrassostreavirginicaG9: parent seq. count	CrassostreavirginicaG9: rel. freq. (%)	HecesP10	HecesP10: parent seq. count	HecesP10: rel. freq. (%)	HecesP11	HecesP11: parent seq. count	HecesP11: rel. freq. (%)	HecesP12	HecesP12: parent seq. count	HecesP12: rel. freq. (%)	HecesP13	HecesP13: parent seq. count	HecesP13: rel. freq. (%)	HecesP14	HecesP14: parent seq. count	HecesP14: rel. freq. (%)	HecesP6	HecesP6: parent seq. count	HecesP6: rel. freq. (%)	HecesP7	HecesP7: parent seq. count	HecesP7: rel. freq. (%)	HecesP8	HecesP8: parent seq. count	HecesP8: rel. freq. (%)	HecesP9	HecesP9: parent seq. count	HecesP9: rel. freq. (%)	AguaP1	AguaP1: parent seq. count	AguaP1: rel. freq. (%)	AguaP2	AguaP2: parent seq. count	AguaP2: rel. freq. (%)	AguaP3	AguaP3: parent seq. count	AguaP3: rel. freq. (%)	AguaP4	AguaP4: parent seq. count	AguaP4: rel. freq. (%)	AguaP5	AguaP5: parent seq. count	AguaP5: rel. freq. (%)	
Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	0.178140620359	0.178140620359	0.151515151515		0.0	0.0	22.2222222222	41.5739709642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	0.0	0.0	1.0		0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	10.0	100.0	6.0	6.0	100.0	6.0	6.0	100.0	3.0	3.0	100.0	2.0	2.0	100.0	10.0	10.0	100.0	6.0	6.0	100.0	8.0	8.0	100.0	4.0	4.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	5.51736366347e-65	5.51736366347e-65	0.999999241134		99.977827051	0.0665188470067	0.0	0.0	0.0	0.0	11.0	11.0	100.0	450.0	451.0	99.77827051	88.0	88.0	100.0	172.0	172.0	100.0	13.0	13.0	100.0	684.0	684.0	100.0	12.0	12.0	100.0	33.0	33.0	100.0	82.0	82.0	100.0	106.0	106.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Rheinheimera	2.04812784413e-53	2.04812784413e-53	0.999990405242		100.0	0.0	0.0	0.0	99.7616487455	0.328284890037	50.0	50.0	100.0	154.0	154.0	100.0	14.0	14.0	100.0	1.0	1.0	100.0	11.0	11.0	100.0	83.0	83.0	100.0	2.0	2.0	100.0	19.0	19.0	100.0	24.0	24.0	100.0	108.0	108.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3270.0	3270.0	100.0	119.0	120.0	99.1666666667	893.0	893.0	100.0	1.0	1.0	100.0	556.0	558.0	99.6415770609	
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Barnesiella	2.07807952214e-15	2.07807952214e-15	0.960034788951		0.856705667861	1.39176442272	57.3014961002	9.03293582924	0.0	0.0	1.0	86.0	1.16279069767	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	565.0	0.353982300885	0.0	1.0	0.0	0.0	6.0	0.0	28.0	707.0	3.9603960396	22.0	712.0	3.08988764045	0.0	3.0	0.0	369.0	574.0	64.2857142857	134.0	234.0	57.264957265	39.0	63.0	61.9047619048	49.0	88.0	55.6818181818	144.0	255.0	56.4705882353	29.0	77.0	37.6623376623	55.0	75.0	73.3333333333	225.0	403.0	55.8312655087	65.0	122.0	53.2786885246	0.0	19.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_XII	Fusibacter	4.24054243823e-11	4.24054243823e-11	0.897166321177		100.0	0.0	0.0	0.0	39.2857142857	33.1970001103	41.0	41.0	100.0	31.0	31.0	100.0	7.0	7.0	100.0	2.0	2.0	100.0	1.0	1.0	100.0	6.0	6.0	100.0	2.0	2.0	100.0	7.0	7.0	100.0	3.0	3.0	100.0	44.0	44.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0	75.0	1.0	2.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	7.0	71.4285714286	
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium_XI	3.58416383911e-10	3.58416383911e-10	0.873986263037		0.0	0.0	100.0	0.0	71.6666666667	37.859388972	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	316.0	316.0	100.0	373.0	373.0	100.0	48.0	48.0	100.0	2.0	2.0	100.0	53.0	53.0	100.0	57.0	57.0	100.0	784.0	784.0	100.0	109.0	109.0	100.0	56.0	56.0	100.0	2.0	3.0	66.6666666667	2.0	2.0	100.0	4.0	4.0	100.0	0.0	0.0	0.0	11.0	12.0	91.6666666667	
Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Cyclobacteriaceae	Algoriphagus	7.56617716769e-10	7.56617716769e-10	0.864692592802		99.2076318743	1.7195995249	0.0	0.0	78.3333333333	39.212775002	5.0	5.0	100.0	79.0	81.0	97.5308641975	2.0	2.0	100.0	1.0	1.0	100.0	2.0	2.0	100.0	52.0	55.0	94.5454545455	6.0	6.0	100.0	15.0	15.0	100.0	9.0	9.0	100.0	70.0	70.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	21.0	95.2380952381	6.0	6.0	100.0	27.0	28.0	96.4285714286	0.0	0.0	0.0	37.0	37.0	100.0	
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_Incertae_Sedis_XII	Exiguobacterium	8.71602619436e-10	8.71602619436e-10	0.862857142857		100.0	0.0	0.0	0.0	80.0	40.0	1.0	1.0	100.0	208.0	208.0	100.0	6.0	6.0	100.0	3.0	3.0	100.0	12.0	12.0	100.0	90.0	90.0	100.0	3.0	3.0	100.0	50.0	50.0	100.0	26.0	26.0	100.0	224.0	224.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	28.0	100.0	2.0	2.0	100.0	2.0	2.0	100.0	0.0	0.0	0.0	23.0	23.0	100.0	
Bacteria	Cyanobacteria_Chloroplast	Chloroplast	Chloroplast_order_incertae_sedis	Chloroplast	Bacillariophyta	1.24505564721e-09	1.24505564721e-09	0.858119490531		96.75	6.71286079105	0.0	0.0	75.8332882817	38.1748441527	2.0	2.0	100.0	4.0	5.0	80.0	1.0	1.0	100.0	2.0	2.0	100.0	3.0	3.0	100.0	2.0	2.0	100.0	2.0	2.0	100.0	1.0	1.0	100.0	7.0	8.0	87.5	64.0	64.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	166.0	192.0	86.4583333333	83.0	86.0	96.511627907	806.0	810.0	99.5061728395	0.0	0.0	0.0	409.0	423.0	96.6903073286	
Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	4.3980465111e-09	4.3980465111e-09	0.84		90.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	5.0	100.0	2.0	2.0	100.0	2.0	2.0	100.0	2.0	2.0	100.0	53.0	53.0	100.0	5.0	5.0	100.0	4.0	4.0	100.0	3.0	3.0	100.0	29.0	29.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Idiomarina	4.3980465111e-09	4.3980465111e-09	0.84		90.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	14.0	100.0	1.0	1.0	100.0	6.0	6.0	100.0	2.0	2.0	100.0	17.0	17.0	100.0	1.0	1.0	100.0	4.0	4.0	100.0	3.0	3.0	100.0	15.0	15.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae_incertae_sedis	6.61192465331e-09	6.61192465331e-09	0.833665012791		2.0	6.0	34.1499089284	9.72574911373	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	11.0	0.0	1.0	5.0	20.0	136.0	551.0	24.6823956443	326.0	822.0	39.6593673966	130.0	302.0	43.0463576159	76.0	391.0	19.4373401535	74.0	166.0	44.578313253	402.0	1910.0	21.0471204188	587.0	1957.0	29.994890138	94.0	223.0	42.1524663677	115.0	269.0	42.750929368	0.0	6.0	0.0	0.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	2.69778790535e-08	2.69778790535e-08	0.809829302091		4.52884990253	5.73220207464	49.9032795615	10.7142884976	15.701754386	14.3345250637	9.0	95.0	9.47368421053	0.0	3.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	14.0	150.0	9.33333333333	0.0	8.0	0.0	0.0	5.0	0.0	31.0	270.0	11.4814814815	33.0	220.0	15.0	0.0	20.0	0.0	4541.0	8303.0	54.6910755149	1722.0	3642.0	47.2817133443	1348.0	2234.0	60.3401969561	2522.0	4385.0	57.5142531357	3075.0	5503.0	55.8786116664	1740.0	5185.0	33.5583413693	636.0	2110.0	30.1421800948	6213.0	10067.0	61.7164994537	867.0	1806.0	48.0066445183	2.0	12.0	16.6666666667	0.0	1.0	0.0	1.0	4.0	25.0	0.0	0.0	0.0	7.0	19.0	36.8421052632	
Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	1.49783608192e-07	1.49783608192e-07	0.776105091322		0.0	0.0	79.3313179998	10.2897270773	20.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	5.0	0.0	0.0	2.0	0.0	406.0	445.0	91.2359550562	131.0	157.0	83.4394904459	90.0	105.0	85.7142857143	128.0	210.0	60.9523809524	102.0	152.0	67.1052631579	1495.0	1971.0	75.8498224252	38.0	40.0	95.0	237.0	304.0	77.9605263158	89.0	116.0	76.724137931	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	5.0	100.0	
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	1.82846294216e-07	1.82846294216e-07	0.771811412389		15.0	22.9128784748	85.3250981985	22.1300925471	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	50.0	0.0	0.0	0.0	1.0	2.0	50.0	1.0	2.0	50.0	0.0	2.0	0.0	803.0	894.0	89.8210290828	3200.0	3341.0	95.7797066746	325.0	556.0	58.4532374101	1.0	3.0	33.3333333333	38.0	38.0	100.0	30.0	30.0	100.0	5433.0	5578.0	97.400501972	183.0	183.0	100.0	1113.0	1195.0	93.1380753138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	2.04401881626e-07	2.04401881626e-07	0.769376625331		0.133333333333	0.4	4.18582115537	1.7230120834	0.0	0.0	0.0	95.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	2.0	150.0	1.33333333333	0.0	8.0	0.0	0.0	5.0	0.0	0.0	270.0	0.0	0.0	220.0	0.0	0.0	20.0	0.0	420.0	8303.0	5.05841262194	166.0	3642.0	4.55793520044	112.0	2234.0	5.01342882722	216.0	4385.0	4.92588369441	333.0	5503.0	6.05124477558	83.0	5185.0	1.60077145612	15.0	2110.0	0.710900473934	575.0	10067.0	5.71173139962	73.0	1806.0	4.04208194906	0.0	12.0	0.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	
Bacteria	Acidobacteria	Acidobacteria_Gp1	Acidobacteria_Gp1_order_incertae_sedis	Acidobacteria_Gp1_family_incertae_sedis	Gp1	3.10611862665e-07	3.10611862665e-07	0.76		0.0	0.0	0.0	0.0	80.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	100.0	2.0	2.0	100.0	1.0	1.0	100.0	0.0	0.0	0.0	2.0	2.0	100.0	
Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	3.10611862665e-07	3.10611862665e-07	0.76		0.0	0.0	0.0	0.0	80.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	100.0	1.0	1.0	100.0	6.0	6.0	100.0	0.0	0.0	0.0	4.0	4.0	100.0	
Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Haliea	6.76523275885e-07	6.76523275885e-07	0.741531346536		1.131678014	1.85799768487	0.0	0.0	57.7579365079	29.9194507365	0.0	1.0	0.0	1.0	234.0	0.42735042735	0.0	20.0	0.0	0.0	31.0	0.0	0.0	8.0	0.0	6.0	163.0	3.68098159509	0.0	2.0	0.0	1.0	18.0	5.55555555556	0.0	27.0	0.0	2.0	121.0	1.65289256198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	12.0	58.3333333333	7.0	9.0	77.7777777778	10.0	14.0	71.4285714286	0.0	0.0	0.0	26.0	32.0	81.25	
Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	7.78820064284e-07	7.78820064284e-07	0.738041733547		0.0	0.0	0.0	0.0	73.3333333333	38.8730126323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	100.0	3.0	3.0	100.0	2.0	3.0	66.6666666667	0.0	0.0	0.0	12.0	12.0	100.0	
Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	8.66714944505e-07	8.66714944505e-07	0.735360367797		29.953020878	32.1794333517	93.2976765585	13.0312355695	0.434782608696	0.869565217391	16.0	54.0	29.6296296296	0.0	16.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	17.0	21.0	80.9523809524	0.0	10.0	0.0	1.0	2.0	50.0	18.0	25.0	72.0	24.0	37.0	64.8648648649	1.0	48.0	2.08333333333	83.0	84.0	98.8095238095	15.0	15.0	100.0	8.0	8.0	100.0	4.0	5.0	80.0	7.0	7.0	100.0	14.0	23.0	60.8695652174	2.0	2.0	100.0	8.0	8.0	100.0	11.0	11.0	100.0	1.0	46.0	2.17391304348	0.0	24.0	0.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	92.0	0.0	
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Butyricimonas	1.19958566193e-06	1.19958566193e-06	0.727040498825		0.567249655321	0.823804437961	7.17719512641	2.56375023973	1.05263157895	2.10526315789	2.0	86.0	2.32558139535	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	565.0	0.530973451327	0.0	1.0	0.0	0.0	6.0	0.0	7.0	707.0	0.990099009901	13.0	712.0	1.82584269663	0.0	3.0	0.0	59.0	574.0	10.2787456446	18.0	234.0	7.69230769231	4.0	63.0	6.34920634921	2.0	88.0	2.27272727273	18.0	255.0	7.05882352941	9.0	77.0	11.6883116883	5.0	75.0	6.66666666667	21.0	403.0	5.21091811414	9.0	122.0	7.37704918033	1.0	19.0	5.26315789474	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter	1.21853927516e-06	1.21853927516e-06	0.726632663041		82.0862405789	29.1227815298	0.0	0.0	50.974789916	26.8935614346	0.0	4.0	0.0	92.0	101.0	91.0891089109	7.0	7.0	100.0	1.0	1.0	100.0	1.0	1.0	100.0	64.0	76.0	84.2105263158	2.0	3.0	66.6666666667	32.0	32.0	100.0	18.0	21.0	85.7142857143	82.0	88.0	93.1818181818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	41.0	56.0	73.2142857143	5.0	8.0	62.5	12.0	17.0	70.5882352941	0.0	0.0	0.0	17.0	35.0	48.5714285714	
Bacteria	Cyanobacteria_Chloroplast	Cyanobacteria	Cyanobacteria_order_incertae_sedis	Family_II	GpIIa	1.90942814182e-06	1.90942814182e-06	0.714685314685		90.0	30.0	0.0	0.0	80.0	40.0	0.0	0.0	0.0	11.0	11.0	100.0	20.0	20.0	100.0	5.0	5.0	100.0	19.0	19.0	100.0	33.0	33.0	100.0	3.0	3.0	100.0	3.0	3.0	100.0	77.0	77.0	100.0	275.0	275.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112.0	112.0	100.0	23.0	23.0	100.0	52.0	52.0	100.0	0.0	0.0	0.0	57.0	57.0	100.0	
Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Zoogloea	2.11293756584e-06	2.11293756584e-06	0.711920061489		0.0	0.0	0.0	0.0	28.4586466165	16.1074323006	0.0	0.0	0.0	0.0	29.0	0.0	0.0	13.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	16.0	0.0	0.0	1.0	0.0	0.0	18.0	0.0	0.0	14.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	28.0	32.1428571429	1.0	2.0	50.0	2.0	7.0	28.5714285714	0.0	1.0	0.0	6.0	19.0	31.5789473684	
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiracea_incertae_sedis	2.54327314252e-06	2.54327314252e-06	0.706788981715		0.902356902357	1.97329378926	7.01326357562	1.65496854841	1.05263157895	2.10526315789	0.0	95.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	150.0	0.0	0.0	8.0	0.0	0.0	5.0	0.0	17.0	270.0	6.2962962963	6.0	220.0	2.72727272727	0.0	20.0	0.0	659.0	8303.0	7.93689028062	307.0	3642.0	8.42943437672	86.0	2234.0	3.84959713518	264.0	4385.0	6.02052451539	366.0	5503.0	6.65091768126	349.0	5185.0	6.73095467695	175.0	2110.0	8.29383886256	561.0	10067.0	5.57266315685	174.0	1806.0	9.63455149502	0.0	12.0	0.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0	19.0	5.26315789474	
Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Bellilinea	5.35426218591e-06	5.35426218591e-06	0.685245901639		0.0	0.0	0.0	0.0	55.0	33.1662479036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	50.0	1.0	1.0	100.0	1.0	2.0	50.0	0.0	0.0	0.0	3.0	4.0	75.0	
Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	6.09049112465e-06	6.09049112465e-06	0.681360053529		10.0	30.0	88.683127572	31.3595368116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	15.0	100.0	112.0	112.0	100.0	7.0	7.0	100.0	0.0	0.0	0.0	33.0	33.0	100.0	1.0	1.0	100.0	212.0	216.0	98.1481481481	128.0	128.0	100.0	20.0	20.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
